zipcode,water_cells,water_acres,date
93307,2013,447.6804238347756,2022-06-30
93311,767,170.57669402944504,2022-06-30
93313,496,110.30774477001923,2022-06-30
93461,0,0,2022-06-30
93203,1115,247.9700310858295,2022-06-30
93206,373,82.95320322422816,2022-06-30
93215,1907,424.10659128311823,2022-06-30
93220,9,2.0015518204237357,2022-06-30
93224,23,5.115076874416214,2022-06-30
93241,5,1.1119732335687422,2022-06-30
93243,34,7.561417988267447,2022-06-30
93249,833,185.25474071255243,2022-06-30
93250,270,60.04655461271208,2022-06-30
93251,72,16.012414563389886,2022-06-30
93263,424,94.29533020662933,2022-06-30
93276,12,2.668735760564981,2022-06-30
93280,935,207.93899467735477,2022-06-30
93287,2,0.44478929342749685,2022-06-30
93301,54,12.009310922542415,2022-06-30
93304,33,7.339023341553698,2022-06-30
93305,27,6.0046554612712075,2022-06-30
93306,596,132.54720944139407,2022-06-30
93308,768,170.7990886761588,2022-06-30
93309,115,25.575384372081068,2022-06-30
93312,107,23.79622719837108,2022-06-30
93314,64,14.233257389679899,2022-06-30
93518,0,0,2022-06-30
93531,0,0,2022-06-30
93561,0,0,2022-06-30
93252,127,28.24412013264605,2022-07-16
93268,24,5.337471521129962,2022-07-16
93307,1852,411.8748857138621,2022-07-16
93311,642,142.77736319022648,2022-07-16
93313,473,105.19266789560301,2022-07-16
93461,0,0,2022-07-16
93203,946,210.38533579120602,2022-07-16
93206,335,74.50220664910573,2022-07-16
93215,1861,413.87643753428586,2022-07-16
93220,9,2.0015518204237357,2022-07-16
93224,22,4.8926822277024655,2022-07-16
93241,4,0.8895785868549937,2022-07-16
93243,34,7.561417988267447,2022-07-16
93249,838,186.3667139461212,2022-07-16
93250,275,61.15852784628082,2022-07-16
93251,65,14.455652036393648,2022-07-16
93263,409,90.9594105059231,2022-07-16
93276,16,3.5583143474199748,2022-07-16
93280,948,210.83012508463352,2022-07-16
93287,3,0.6671839401412453,2022-07-16
93301,50,11.119732335687422,2022-07-16
93304,31,6.894234048126202,2022-07-16
93305,23,5.115076874416214,2022-07-16
93306,574,127.6545272136916,2022-07-16
93308,611,135.8831291421003,2022-07-16
93309,92,20.460307497664857,2022-07-16
93312,101,22.461859318088592,2022-07-16
93314,53,11.786916275828666,2022-07-16
93518,0,0,2022-07-16
93531,0,0,2022-07-16
93561,0,0,2022-07-16
93252,130,28.911304072787296,2022-09-02
93268,15,3.3359197007062265,2022-09-02
93307,1654,367.8407456645399,2022-09-02
93311,517,114.97803235100794,2022-09-02
93313,279,62.048106433135814,2022-09-02
93461,0,0,2022-09-02
93203,934,207.71660003064105,2022-09-02
93206,330,73.39023341553698,2022-09-02
93215,1901,422.7722234028358,2022-09-02
93220,7,1.556762526996239,2022-09-02
93224,25,5.559866167843711,2022-09-02
93241,2,0.44478929342749685,2022-09-02
93243,30,6.671839401412453,2022-09-02
93249,802,178.36050666442625,2022-09-02
93250,208,46.25808651645967,2022-09-02
93251,61,13.566073449538655,2022-09-02
93263,399,88.73546403878562,2022-09-02
93276,17,3.7807089941337235,2022-09-02
93280,941,209.27336255763728,2022-09-02
93287,4,0.8895785868549937,2022-09-02
93301,7,1.556762526996239,2022-09-02
93304,34,7.561417988267447,2022-09-02
93305,10,2.2239464671374845,2022-09-02
93306,569,126.54255398012286,2022-09-02
93308,541,120.3155038721379,2022-09-02
93309,58,12.898889509397408,2022-09-02
93312,91,20.23791285095111,2022-09-02
93314,32,7.1166286948399495,2022-09-02
93518,199,44.256534696035935,2022-09-02
93531,0,0,2022-09-02
93561,0,0,2022-09-02
93252,143,31.802434480066026,2022-10-04
93268,25,5.559866167843711,2022-10-04
93307,1851,411.65249106714833,2022-10-04
93311,688,153.00751693905892,2022-10-04
93313,594,132.10242014796657,2022-10-04
93461,0,0,2022-10-04
93203,1093,243.07734885812704,2022-10-04
93206,335,74.50220664910573,2022-10-04
93215,1170,260.20173665508565,2022-10-04
93220,13,2.8911304072787294,2022-10-04
93224,26,5.782260814557459,2022-10-04
93241,2,0.44478929342749685,2022-10-04
93243,79,17.569177090386127,2022-10-04
93249,773,171.91106190972755,2022-10-04
93250,225,50.038795510593395,2022-10-04
93251,73,16.234809210103634,2022-10-04
93263,438,97.4088552606218,2022-10-04
93276,22,4.8926822277024655,2022-10-04
93280,1492,331.81281289691265,2022-10-04
93287,6,1.3343678802824905,2022-10-04
93301,37,8.228601928408692,2022-10-04
93304,64,14.233257389679899,2022-10-04
93305,25,5.559866167843711,2022-10-04
93306,632,140.55341672308901,2022-10-04
93308,685,152.3403329989177,2022-10-04
93309,102,22.68425396480234,2022-10-04
