zipcode,ncells,acres,date
93252,142,31.580039833352277,2022-06-30
93268,29,6.449444754698704,2022-06-30
93307,2013,447.6804238347756,2022-06-30
93311,767,170.57669402944504,2022-06-30
93313,496,110.30774477001923,2022-06-30
93461,0,0,2022-06-30
93203,1115,247.9700310858295,2022-06-30
93206,373,82.95320322422816,2022-06-30
93215,1907,424.10659128311823,2022-06-30
93220,9,2.0015518204237357,2022-06-30
93224,23,5.115076874416214,2022-06-30
93241,5,1.1119732335687422,2022-06-30
93243,34,7.561417988267447,2022-06-30
93249,833,185.25474071255243,2022-06-30
93250,270,60.04655461271208,2022-06-30
93251,72,16.012414563389886,2022-06-30
93263,424,94.29533020662933,2022-06-30
93276,12,2.668735760564981,2022-06-30
93280,935,207.93899467735477,2022-06-30
93287,2,0.44478929342749685,2022-06-30
93301,54,12.009310922542415,2022-06-30
93304,33,7.339023341553698,2022-06-30
93305,27,6.0046554612712075,2022-06-30
93306,596,132.54720944139407,2022-06-30
93308,768,170.7990886761588,2022-06-30
93309,115,25.575384372081068,2022-06-30
93312,107,23.79622719837108,2022-06-30
93314,64,14.233257389679899,2022-06-30
93518,0,0,2022-06-30
93531,0,0,2022-06-30
93561,0,0,2022-06-30
93252,140,31.13525053992478,2022-07-08
93268,28,6.227050107984956,2022-07-08
93307,1931,429.44406280424823,2022-07-08
93311,662,147.22525612450147,2022-07-08
93313,471,104.7478786021755,2022-07-08
93461,0,0,2022-07-08
93203,1035,230.17845934872963,2022-07-08
93206,375,83.39799251765567,2022-07-08
93215,1893,420.99306622912576,2022-07-08
93220,8,1.7791571737099874,2022-07-08
93224,16,3.5583143474199748,2022-07-08
93241,1,0.22239464671374842,2022-07-08
93243,37,8.228601928408692,2022-07-08
93249,785,174.57979767029252,2022-07-08
93250,314,69.831919068117,2022-07-08
93251,71,15.790019916676139,2022-07-08
93263,460,102.30153748832427,2022-07-08
93276,18,4.003103640847471,2022-07-08
93280,965,214.61083407876723,2022-07-08
93287,4,0.8895785868549937,2022-07-08
93301,57,12.676494862683661,2022-07-08
93304,34,7.561417988267447,2022-07-08
93305,19,4.22549828756122,2022-07-08
93306,573,127.43213256697786,2022-07-08
93308,684,152.11793835220394,2022-07-08
93309,103,22.90664861151609,2022-07-08
93312,101,22.461859318088592,2022-07-08
93314,59,13.121284156111157,2022-07-08
93518,0,0,2022-07-08
93531,0,0,2022-07-08
93561,0,0,2022-07-08
93252,127,28.24412013264605,2022-07-16
93268,24,5.337471521129962,2022-07-16
93307,1852,411.8748857138621,2022-07-16
93311,642,142.77736319022648,2022-07-16
93313,473,105.19266789560301,2022-07-16
93461,0,0,2022-07-16
93203,946,210.38533579120602,2022-07-16
93206,335,74.50220664910573,2022-07-16
93215,1861,413.87643753428586,2022-07-16
93220,9,2.0015518204237357,2022-07-16
93224,22,4.8926822277024655,2022-07-16
93241,4,0.8895785868549937,2022-07-16
93243,34,7.561417988267447,2022-07-16
93249,838,186.3667139461212,2022-07-16
93250,275,61.15852784628082,2022-07-16
93251,65,14.455652036393648,2022-07-16
93263,409,90.9594105059231,2022-07-16
93276,16,3.5583143474199748,2022-07-16
93280,948,210.83012508463352,2022-07-16
93287,3,0.6671839401412453,2022-07-16
93301,50,11.119732335687422,2022-07-16
93304,31,6.894234048126202,2022-07-16
93305,23,5.115076874416214,2022-07-16
93306,574,127.6545272136916,2022-07-16
93308,611,135.8831291421003,2022-07-16
93309,92,20.460307497664857,2022-07-16
93312,101,22.461859318088592,2022-07-16
93314,53,11.786916275828666,2022-07-16
93518,0,0,2022-07-16
93531,0,0,2022-07-16
93561,0,0,2022-07-16
93252,156,34.693564887344756,2022-07-24
93268,31,6.894234048126202,2022-07-24
93307,2004,445.67887201435184,2022-07-24
93311,704,156.5658312864789,2022-07-24
93313,527,117.20197881814542,2022-07-24
93461,0,0,2022-07-24
93203,1043,231.95761652243962,2022-07-24
93206,351,78.0605209965257,2022-07-24
93215,1897,421.88264481598077,2022-07-24
93220,6,1.3343678802824905,2022-07-24
93224,18,4.003103640847471,2022-07-24
93241,5,1.1119732335687422,2022-07-24
93243,42,9.340575161977434,2022-07-24
93249,823,183.03079424541497,2022-07-24
93250,295,65.60642078055578,2022-07-24
