GEOID10,Shape_Leng,Shape_Area,COUNTY_NAM,Lat,Lon,City,Type,Collection,Month,Year,Count,geometry
93314,3916530.82041,53238702331.5,Kern,35.3411034643562,-119.312834639147,KERN,WNVPools,"{""Aug 2019"":1}",Aug,2019,1,"c(-119.312834639147, 35.3411034643562)"
93314,3916530.82041,53238702331.5,Kern,35.3465782638954,-119.308493518338,KERN,SLEVPools,"{""Aug 2019"":1}",Aug,2019,1,"c(-119.308493518338, 35.3465782638954)"
93314,3916530.82041,53238702331.5,Kern,35.3485443034047,-119.307116643897,KERN,SLEVPools,"{""Aug 2019"":1}",Aug,2019,1,"c(-119.307116643897, 35.3485443034047)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Sep 2012"":1}",Sep,2012,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Sep 2011"":1}",Sep,2011,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2012"":1}",Aug,2012,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Sep 2011"":1}",Sep,2011,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2010"":1}",Aug,2010,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Sep 2010"":1}",Sep,2010,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Oct 2010"":1}",Oct,2010,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.4019844629076,-119.31777736962,KERN,WNVPools,"{""Aug 2011"":1}",Aug,2011,1,"c(-119.31777736962, 35.4019844629076)"
93314,3916530.82041,53238702331.5,Kern,35.3276129628125,-119.337046184499,KERN,WNVPools,"{""Jul 2019"":1}",Jul,2019,1,"c(-119.337046184499, 35.3276129628125)"
93314,3916530.82041,53238702331.5,Kern,35.3276129628125,-119.337046184499,KERN,WNVPools,"{""Jul 2019"":1}",Jul,2019,1,"c(-119.337046184499, 35.3276129628125)"
93314,3916530.82041,53238702331.5,Kern,35.3421055847245,-119.330328240109,KERN,SLEVPools,"{""Jul 2019"":1}",Jul,2019,1,"c(-119.330328240109, 35.3421055847245)"
93314,3916530.82041,53238702331.5,Kern,35.3445083239575,-119.335067859263,KERN,WNVPools,"{""Jul 2019"":1}",Jul,2019,1,"c(-119.335067859263, 35.3445083239575)"
93314,3916530.82041,53238702331.5,Kern,35.3445083239575,-119.335067859263,KERN,WNVPools,"{""Jul 2019"":1}",Jul,2019,1,"c(-119.335067859263, 35.3445083239575)"
93314,3916530.82041,53238702331.5,Kern,35.3445083239575,-119.335067859263,KERN,WNVPools,"{""Jul 2019"":1}",Jul,2019,1,"c(-119.335067859263, 35.3445083239575)"
